track_id,artist,title,lrclib_status,lrclib_len,lyrics_ovh_status,lyrics_ovh_len,genius_search_status,genius_search_len,genius_scrape_status,genius_scrape_len,deezer_lyrics_status,deezer_lyrics_len,chartlyrics_status,chartlyrics_len
4ahVNbbhPycMPbW5ZMNuCo,Noah Rinker,Wherever I Go,ok,1200,error:ReadTimeout,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
5PV5sgZLyPbVE3zUBRY0fT,KSI,Summer Is Over,ok,2684,error:ReadTimeout,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
28jg9LDVwisxGNGN8Wl2UD,Jamie Lidell,Little Bit of Feel Good,ok,1424,ok,1101,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
0mGsBesozk4lKqAtRfbVQp,Cafe Jazz,Soft Evening Light in the Cafe Cafe Jazz,not_found,0,error:ReadTimeout,0,search_hit,0,scrape_403,0,not_found,0,http_404,0
7mXSd6RV33PzXlOVDOclrY,Deep Sleep Music Collective,Soothing Stress Relief Piano,not_found,0,not_found,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
2mz0QjBZrwkNbJh2JaQ4RD,bbno$,pump it,ok,3259,ok,2398,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
1VRt8lQUdJwNGlsMfaJxKU,WALKMN,Lonely Night,not_found,0,not_found,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
2leodre2srmttuHWoO3061,Soulja Pey,Why I Tried?,not_found,0,not_found,0,search_hit,0,scrape_403,0,not_found,0,http_404,0
59lNCXBP6UXgRcrSGy2p9T,Bakermat,Good Feeling (feat. Rhys Lewis),ok,2382,ok,1804,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
6YkSdEHAH7AY5usEYC4lxV,thonkg.ptt,Love Is remake,not_found,0,error:ReadTimeout,0,not_found,0,scrape_403,0,error:ConnectionError,0,http_404,0
2yLKNpustSKxvDX2lwNGDT,ARTSALGHUL,faaj1,ok,2438,not_found,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
1rENS47PLnO8c7WIjRCD46,Dance Fruits Music,Calabria (feat. Nito-Onna & Lujavo),ok,2433,not_found,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
0yxAiM4nfDuB7HXW4FT0zB,Alder,Will You Let Me Down,ok,1532,error:ReadTimeout,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
60O9NfiehqYnxxhFL7qVDA,Lofi Blue Note,Meditation,not_found,0,error:ReadTimeout,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
4LNH0tjxKsdvtnH0gU4gzb,Myrtle Monsters,The Revolution Will Not Be Streamed (Ultra Chill),not_found,0,http_502,0,search_hit,0,scrape_403,0,error:ConnectionError,0,http_404,0
3s3tZ3ZkUUCv0ZD7Vt1zDH,Chris Snelling,Jingle Bells (Arr. for Piano),not_found,0,error:ReadTimeout,0,not_found,0,scrape_403,0,error:ConnectionError,0,http_404,0
