track_id,mood_label,lang_bucket,year_bucket,status,has_preview,preview_url,deezer_id
6lhX6VcUOzQKT5VNPwmp9C,energetic,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/8/6/2/0/8628ac17905f252c3b643a68b36e4a97.mp3?hdnea=exp=1781591687~acl=/api/1/1/8/6/2/0/8628ac17905f252c3b643a68b36e4a97.mp3*~data=user_id=0,application_id=42~hmac=21596e152da3922c18710f3b0988a9b57da776616d3fd9fec7656d74a21d272d",3641964662.0
4jzxV8mYdd7Y1EdH6mUHfN,calm,likely_western_other,2020_plus,error:ConnectionError,False,,
6IKiQmL6M6xAnwBcjhGzrF,calm,likely_vn,2020_plus,error:ConnectionError,False,,
0W6I02J9xcqK8MtSeosEXb,happy,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/8/b/d/0/8bd11a18bf883661784eea09661a7667.mp3?hdnea=exp=1781591711~acl=/api/1/1/8/b/d/0/8bd11a18bf883661784eea09661a7667.mp3*~data=user_id=0,application_id=42~hmac=43e0f6292e158ec8a5f88bd52f188b3f4e4756ee478f7a49dda13f0e856ef7ad",1410738072.0
364dI1bYnvamSnBJ8JcNzN,calm,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/a/0/a/0/a0a2ce3ec61feda27e3da690fed81a55.mp3?hdnea=exp=1781591719~acl=/api/1/1/a/0/a/0/a0a2ce3ec61feda27e3da690fed81a55.mp3*~data=user_id=0,application_id=42~hmac=309f33f25b7cf758e2f4c986865913e19504683de87e672679a48adf3a1b4dbb",870979432.0
0azC730Exh71aQlOt9Zj3y,calm,likely_western_other,2010_2019,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/e/e/9/0/ee9343b8c6302f49270fd6e96321276c.mp3?hdnea=exp=1781591727~acl=/api/1/1/e/e/9/0/ee9343b8c6302f49270fd6e96321276c.mp3*~data=user_id=0,application_id=42~hmac=e5f141b2af531c714d5a61d5219a2ca4440e2714785d41aa623d6e38dd666d1b",123883254.0
0efwwcHmAIBDIn8QSxIwE4,calm,likely_western_other,2020_plus,not_found,False,,
79NkKB7p0paBIrq4BAc1aI,calm,likely_vn,2020_plus,error:ConnectionError,False,,
2ScmNRMUlQ5EPYa57dME2e,sad,likely_western_other,2020_plus,error:ConnectionError,False,,
4V1TOoANnpTNEXaDH95MKe,sad,likely_western_other,2020_plus,error:ConnectionError,False,,
1xK59OXxi2TAAAbmZK0kBL,romantic,likely_western_other,2020_plus,matched,True,"https://cdnt-preview.dzcdn.net/api/1/1/c/d/6/0/cd620b10a54425f08f3545e25ebd2318.mp3?hdnea=exp=1781591781~acl=/api/1/1/c/d/6/0/cd620b10a54425f08f3545e25ebd2318.mp3*~data=user_id=0,application_id=42~hmac=909c992ed3ffe1593b5e983c10cb151ffda2713998637561c87fa436a53b8da3",2064150177.0
3lqERkC8laIxCE9vfvslig,happy,likely_western_other,2020_plus,error:ConnectionError,False,,
